"","id","Ideology","A","Gender","Age","M1","M2","M3","M4","M5","M6","Y"
"61",91,0.5,0,0,18,0.944444444444444,0.833333333333333,0.555555555555556,1,0.333333333333333,0.65,0.272222222222222
"62",93,-0.5,1,1,24,0.722222222222222,0.111111111111111,0.111111111111111,0.333333333333333,0,0.94,0.158888888888889
"63",94,-1.5,0,0,20,0.833333333333333,0.666666666666667,0.277777777777778,0.833333333333333,0.833333333333333,0.17,0.772222222222222
"64",95,-1.5,1,1,21,0.5,0.277777777777778,0.388888888888889,0.944444444444444,0.333333333333333,0.765,0.126666666666667
"65",97,-0.5,1,1,21,0.555555555555556,0.555555555555556,0.444444444444444,1,0.833333333333333,0.5,0.444444444444444
"66",98,-0.5,1,1,19,0.888888888888889,0.5,0.388888888888889,0.833333333333333,0.333333333333333,0.645,0.368888888888889
"67",99,-1.5,0,1,18,1,0.5,0.5,1,0.833333333333333,0.405,0.467777777777778
"68",100,-2.5,0,1,22,1,0.444444444444444,0.222222222222222,1,0.833333333333333,0.55,0.642222222222222
"69",101,2.5,0,1,19,1,0.333333333333333,0.333333333333333,1,0.833333333333333,0.96,0.206666666666667
"70",102,0.5,0,1,19,0.888888888888889,0.5,0.5,0.777777777777778,0.5,0.45,0.311111111111111
"71",104,-0.5,1,1,18,0.444444444444444,0.611111111111111,0.333333333333333,0.611111111111111,0.666666666666667,0.43,0.362222222222222
"72",105,-0.5,1,1,18,0.444444444444444,0.222222222222222,0.166666666666667,0.722222222222222,0.666666666666667,0.81,0.496666666666667
"73",108,-1.5,0,1,19,1,0.722222222222222,0.555555555555556,1,0.833333333333333,0.445,0.56
"74",110,-0.5,0,1,18,0.722222222222222,0.444444444444444,0.611111111111111,0.944444444444444,0.666666666666667,0.5,0.424444444444444
"75",111,0.5,1,1,19,0.444444444444444,0.333333333333333,0.166666666666667,0.611111111111111,0.333333333333333,0.78,0.308888888888889
"76",113,-0.5,0,0,20,1,0.555555555555556,0.555555555555556,1,0.166666666666667,0.7,0.16
"77",114,-1.5,1,1,23,0.666666666666667,0.555555555555556,0.611111111111111,1,0.666666666666667,0.55,0.302222222222222
"78",116,1.5,0,1,21,0.611111111111111,0.111111111111111,0.277777777777778,0.777777777777778,0.666666666666667,0.815,0.212222222222222
"79",119,0.5,1,0,19,0.888888888888889,0.444444444444444,0.277777777777778,0.944444444444444,0.333333333333333,0.805,0.238888888888889
"80",120,-1.5,1,1,21,0.833333333333333,0.555555555555556,0.166666666666667,0.944444444444444,0.666666666666667,0.68,0.218888888888889
"81",121,-1.5,0,1,19,1,0.5,0.444444444444444,1,0.833333333333333,0.35,0.55
"82",122,-1.5,0,0,18,0.833333333333333,0.555555555555556,0.444444444444444,0.833333333333333,0.166666666666667,0.655,0.178888888888889
"83",123,-0.5,0,1,18,1,0.611111111111111,0.277777777777778,1,0.833333333333333,0.425,0.405555555555556
"84",124,-0.5,0,1,23,0.888888888888889,0.444444444444444,0.222222222222222,1,0.833333333333333,0.01,0.99
"85",126,-0.5,1,1,18,0.333333333333333,0.555555555555556,0.222222222222222,0.666666666666667,0.833333333333333,0.425,0.55
"86",128,-1.5,0,1,21,1,0,0,1,0.833333333333333,0.5,0.366666666666667
"87",130,-0.5,1,1,20,1,0.5,0.222222222222222,1,0.666666666666667,0.725,0.178888888888889
"88",131,0.5,1,0,19,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.333333333333333,0.72,0.364444444444444
"89",132,-1.5,1,0,20,0.388888888888889,0.5,0.555555555555556,0.444444444444444,0.833333333333333,0.46,0.833333333333333
